school_year,dpi_true_id,school_name,accurate_agency_type,school_enrollment,grade_band,overall_rating,overall_score,ly_ach,sch_ach,sch_growth,sch_tgo,sch_ot,prof_count_ELA,prof_count_Mathematics,prof_percent_ELA,prof_percent_Mathematics
2023-24,3619_0146,Milwaukee German Immersion,Traditional Public,549,K-5,Exceeds Expectations,76.2,FALSE,70.1,74.6,70.1,90.4,120,113,0.631578947368421,0.5947368421052631
2023-24,0000_1990,Mount Olive Christian Day School,Private,149,K-8,Exceeds Expectations,76,FALSE,53.9,79.3,70,80.3,48,36,0.5052631578947369,0.37894736842105264
2023-24,8003_8137,United Community Center Acosta Middle School,2r/2x Charter,180,6-8,Exceeds Expectations,76,FALSE,40.3,86.8,68.5,71.2,53,65,0.31176470588235294,0.38235294117647056
2023-24,0000_1044,Clara Mohammed School,Private,64,K-12,Exceeds Expectations,75.3,FALSE,15.9,85.9,NA,76.4,3,2,0.15789473684210525,0.10526315789473684
2023-24,3619_0112,Bay View Montessori School,Traditional Public,484,K-8,Exceeds Expectations,75.3,TRUE,68.2,71.7,71.2,89.9,121,88,0.6335078534031413,0.4607329842931937
2023-24,3619_0223,Humboldt Park Elementary,Traditional Public,589,K-8,Exceeds Expectations,75.3,FALSE,45.8,87.9,62.9,70.9,125,123,0.34153005464480873,0.3360655737704918
2023-24,0000_5720,Saint Margaret Mary School,Private,153,K-8,Exceeds Expectations,75.1,FALSE,25.9,87.9,71.7,65.3,18,13,0.18556701030927836,0.13402061855670103
2023-24,3619_0852,Highland Community School,Non-Instrumentality Charter,414,K-8,Exceeds Expectations,75,FALSE,56.7,82.1,74.6,80.9,127,90,0.6318407960199005,0.44776119402985076
2023-24,0000_1729,Hope Christian School Fidelis,Private,634,K-8,Exceeds Expectations,74.6,FALSE,27,83.1,73.2,70.3,37,65,0.11455108359133127,0.20123839009287925
2023-24,3619_0020,King International,Traditional Public,1339,9-12,Exceeds Expectations,73.8,TRUE,47.2,74.6,71.5,82.1,313,234,0.33297872340425533,0.24893617021276596
2023-24,0000_8080,Salem Evangelical Lutheran School,Private,175,K-8,Exceeds Expectations,73.5,FALSE,41.9,78.4,66.4,77.9,35,28,0.3723404255319149,0.2978723404255319
2023-24,3619_0316,Academy of Accelerated Learning,Traditional Public,538,K-5,Exceeds Expectations,73.4,TRUE,55,73.6,67.1,83,92,93,0.45320197044334976,0.458128078817734
2023-24,3619_0162,ALBA - Academia de Lenguaje y Bellas Artes,Instrumentality Charter,620,K-8,Exceeds Expectations,73.4,TRUE,37.4,74.6,71.1,80.9,107,83,0.2988826815642458,0.23184357541899442
2023-24,0000_0309,Catholic East Elementary,Private,193,K-8,Exceeds Expectations,72.8,TRUE,59.5,78.4,61.5,76.5,47,47,0.39166666666666666,0.39166666666666666
